key,value
kappa,5.930846849047566
theta,0.05158322903225949
xi,1.6720478646274188
rho,-0.6883447114692329
v0,0.009567390642948866
H,0.48999999882611545
rmse_iv_calset,0.008551024945118888
rmse_iv_fullchain,0.013409827407826593
classical_same_set_kappa,6.141790102364606
classical_same_set_theta,0.05133678569964288
classical_same_set_xi,1.7320070284834932
classical_same_set_rho,-0.6854760690333724
classical_same_set_v0,0.009636595346922268
classical_rmse_calset,0.008517636466749658
classical_rmse_fullchain,0.013362583936747066
n_calibration,192
n_fullchain,11858
rough_iterations,41
rough_wall_seconds,67.58400011062622
classical_wall_seconds,9.263000011444092
eval_wall_seconds,0.7279999256134033
N_solver_calibration,96
N_solver_evaluation,192
