# Rough Heston cross-validation
# S0=1.0, r=0, V0=theta
# Loaded CSVs:
#   Octave       → 42 cases  [VALID]
#   WS-Pade      → 42 cases  [VALID]
#   Julia        → 42 cases  [VALID]
#   roughprix    → 1 cases  [INVALID (excluded from ball)]
#   R-Adams      → file not found — run r_adams grid first  [INVALID (excluded from ball)]
#   qipc         → file not found — run qipc grid first  [INVALID (excluded from ball)]
# Consensus tolerance: 0.01 (one penny per unit spot)
# Reference ball: midpoint = mean of N valid samples (even weights),
#                 radius   = sample standard deviation (ddof=1) of valid samples

case_id,Octave_call,Octave_put,WS-Pade_call,WS-Pade_put,Julia_call,Julia_put,roughprix_call,roughprix_put,R-Adams_call,R-Adams_put,qipc_call,qipc_put,n,mid_call,spread_call,radius_call,mid_put,spread_put,radius_put,max_call_diff,max_put_diff
,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,0,ERR,ERR,ERR,ERR,ERR,ERR,0.00e+00,0.00e+00
M1_T0.00396825_K0.800,0.200000023709,0.000000023709,0.200000024154,0.000000024154,0.200000024010,0.000000024010,ERR,ERR,ERR,ERR,ERR,ERR,3,0.200000023958,0.000000000249,0.000000000227,0.000000023958,0.000000000249,0.000000000227,4.45e-10,4.45e-10
M1_T0.00396825_K0.900,0.100080915319,0.000080915319,0.100081177638,0.000081177638,0.100081180812,0.000081180812,ERR,ERR,ERR,ERR,ERR,ERR,3,0.100081091256,0.000000175937,0.000000152374,0.000081091256,0.000000175937,0.000000152374,2.65e-07,2.65e-07
M1_T0.00396825_K0.950,0.051619797897,0.001619797897,0.051621289094,0.001621289094,0.051621236310,0.001621236310,ERR,ERR,ERR,ERR,ERR,ERR,3,0.051620774434,0.000000976537,0.000000846117,0.001620774434,0.000000976537,0.000000846117,1.49e-06,1.49e-06
M1_T0.00396825_K1.000,0.013998703461,0.013998703461,0.013998379920,0.013998379920,0.013998334470,0.013998334470,ERR,ERR,ERR,ERR,ERR,ERR,3,0.013998472617,0.000000230844,0.000000201204,0.013998472617,0.000000230844,0.000000201204,3.69e-07,3.69e-07
M1_T0.00396825_K1.050,0.000870040122,0.050870040122,0.000868278345,0.050868278345,0.000868232818,0.050868232818,ERR,ERR,ERR,ERR,ERR,ERR,3,0.000868850428,0.000001189694,0.000001030556,0.050868850428,0.000001189694,0.000001030556,1.81e-06,1.81e-06
M1_T0.00396825_K1.100,0.000004078533,0.100004078533,0.000004021195,0.100004021195,0.000004028959,0.100004028959,ERR,ERR,ERR,ERR,ERR,ERR,3,0.000004042896,0.000000035637,0.000000031106,0.100004042896,0.000000035637,0.000000031106,5.73e-08,5.73e-08
M1_T0.00396825_K1.200,0,0.200000000096,0,0.199999999927,0,0.200000000000,ERR,ERR,ERR,ERR,ERR,ERR,3,0,0,0,0.200000000008,0,0,1.69e-10,1.69e-10
M1_T0.01923077_K0.800,0.200263769881,0.000263769881,0.200264589237,0.000264589237,0.200264611530,0.000264611530,ERR,ERR,ERR,ERR,ERR,ERR,3,0.200264323549,0.000000553668,0.000000479620,0.000264323549,0.000000553668,0.000000479620,8.42e-07,8.42e-07
M1_T0.01923077_K0.900,0.104278915156,0.004278915156,0.104282812599,0.004282812599,0.104282616673,0.004282616673,ERR,ERR,ERR,ERR,ERR,ERR,3,0.104281448143,0.000002532987,0.000002195817,0.004281448143,0.000002532987,0.000002195817,3.90e-06,3.90e-06
