case_id,S0,K,T,H,lam,theta,nu,rho,r,call,put
M1_T0.00396825_K0.800,1.0,0.8,0.003968253968253968,0.12,0.1,0.3156,0.331,-0.681,0.0,0.200000023709,0.000000023709
M1_T0.00396825_K0.900,1.0,0.9,0.003968253968253968,0.12,0.1,0.3156,0.331,-0.681,0.0,0.100080915319,0.000080915319
M1_T0.00396825_K0.950,1.0,0.95,0.003968253968253968,0.12,0.1,0.3156,0.331,-0.681,0.0,0.051619797897,0.001619797897
M1_T0.00396825_K1.000,1.0,1.0,0.003968253968253968,0.12,0.1,0.3156,0.331,-0.681,0.0,0.013998703461,0.013998703461
M1_T0.00396825_K1.050,1.0,1.05,0.003968253968253968,0.12,0.1,0.3156,0.331,-0.681,0.0,0.000870040122,0.050870040122
M1_T0.00396825_K1.100,1.0,1.1,0.003968253968253968,0.12,0.1,0.3156,0.331,-0.681,0.0,0.000004078533,0.100004078533
M1_T0.00396825_K1.200,1.0,1.2,0.003968253968253968,0.12,0.1,0.3156,0.331,-0.681,0.0,0.000000000096,0.200000000096
M1_T0.01923077_K0.800,1.0,0.8,0.019230769230769232,0.12,0.1,0.3156,0.331,-0.681,0.0,0.200263769881,0.000263769881
M1_T0.01923077_K0.900,1.0,0.9,0.019230769230769232,0.12,0.1,0.3156,0.331,-0.681,0.0,0.104278915156,0.004278915156
M1_T0.01923077_K0.950,1.0,0.95,0.019230769230769232,0.12,0.1,0.3156,0.331,-0.681,0.0,0.062663016960,0.012663016960
M1_T0.01923077_K1.000,1.0,1.0,0.019230769230769232,0.12,0.1,0.3156,0.331,-0.681,0.0,0.030648121076,0.030648121076
M1_T0.01923077_K1.050,1.0,1.05,0.019230769230769232,0.12,0.1,0.3156,0.331,-0.681,0.0,0.011171492421,0.061171492421
M1_T0.01923077_K1.100,1.0,1.1,0.019230769230769232,0.12,0.1,0.3156,0.331,-0.681,0.0,0.002748633544,0.102748633544
M1_T0.01923077_K1.200,1.0,1.2,0.019230769230769232,0.12,0.1,0.3156,0.331,-0.681,0.0,0.000038474584,0.200038474584
