t,theta,theta_prime,Re_zeta,Im_zeta
6.289835988,-3.530972829,-6.666959882e-11,0.8856232512,0.3633982719
6.538325651,-3.528545266,0.01941266993,0.9304608332,0.3791600613
6.786815315,-3.521385334,0.03809833011,0.9782543716,0.3904920943
7.035304978,-3.509667031,0.05610956902,1.028763480,0.3967421245
7.283794642,-3.493551988,0.07349345823,1.081616614,0.3972242366
7.532284305,-3.473190749,0.09029229927,1.136293620,0.3912388885
7.780773969,-3.448723871,0.1065442482,1.192109812,0.3780981945
8.029263632,-3.420282890,0.1222838407,1.248202893,0.3571567743
8.277753295,-3.387991163,0.1375424373,1.303524217,0.3278482337
8.526242959,-3.351964610,0.1523486006,1.356836099,0.2897270167
8.774732622,-3.312312366,0.1667284197,1.406716969,0.2425149583
9.023222286,-3.269137362,0.1807057878,1.451576246,0.1861513811
9.271711949,-3.222536839,0.1943026421,1.489680708,0.1208450305
9.520201612,-3.172602807,0.2075391719,1.519193973,0.04712554531
9.768691276,-3.119422460,0.2204339999,1.538230299,-0.03410845188
10.01718094,-3.063078540,0.2330043398,1.544923388,-0.1215481526
10.26567060,-3.003649674,0.2452661358,1.537510105,-0.2134442709
10.51416027,-2.941210669,0.2572341839,1.514428053,-0.3075920696
10.76264993,-2.875832791,0.2689222399,1.474424801,-0.4013362900
11.01113959,-2.807584004,0.2803431149,1.416675215,-0.4916004773
11.25962926,-2.736529197,0.2915087596,1.340901941,-0.5749447537
11.50811892,-2.662730391,0.3024303400,1.247492607,-0.6476552420
11.75660858,-2.586246919,0.3131183045,1.137605955,-0.7058670387
12.00509825,-2.507135604,0.3235824443,1.013257948,-0.7457208506
12.25358791,-2.425450910,0.3338319471,0.8773780921,-0.7635511596
12.50207757,-2.341245090,0.3438754462,0.7338259438,-0.7561011199
12.75056724,-2.254568312,0.3537210639,0.5873581807,-0.7207564259
12.99905690,-2.165468789,0.3633764510,0.4435378463,-0.6557872810
13.24754656,-2.073992886,0.3728488231,0.3085795635,-0.5605845676
13.49603623,-1.980185226,0.3821449923,0.1891276874,-0.4358736357
13.74452589,-1.884088785,0.3912713976,0.09196853397,-0.2838871039
13.99301555,-1.785744986,0.4002341309,0.02368286118,-0.1084770367
14.24150522,-1.685193775,0.4090389618,-0.009749515896,0.08485284432
14.48999488,-1.582473703,0.4176913601,-0.003375059405,0.2890123498
14.73848454,-1.477621999,0.4261965162,0.04630204933,0.4955011008
14.98697421,-1.370674633,0.4345593596,0.1409114713,0.6947039072
15.23546387,-1.261666380,0.4427845761,0.2798643847,0.8763056928
15.48395353,-1.150630882,0.4508766241,0.4600924693,1.029817220
15.73244320,-1.037600697,0.4588397484,0.6759129490,1.145192484
15.98093286,-0.9226073556,0.4666779940,0.9190509527,1.213507789
16.22942252,-0.8056814054,0.4743952186,1.178843569,1.227661999
16.47791219,-0.6868524580,0.4819951036,1.442639610,1.183048463
16.72640185,-0.5661492309,0.4894811650,1.696395481,1.078142587
16.97489152,-0.4435995874,0.4968567630,1.925451318,0.9149463358
17.22338118,-0.3192305744,0.5041251112,2.115453610,0.6992329389
17.47187084,-0.1930684574,0.5112892848,2.253372434,0.4405425956
17.72036051,-0.06513875429,0.5183522287,2.328544650,0.1518933894
17.96885017,0.06453373347,0.5253167645,2.333661099,-0.1508092751
18.21733983,0.1959248910,0.5321855976,2.265607822,-0.4496573435
18.46582950,0.3290112617,0.5389613232,2.126070393,-0.7258840183
18.71431916,0.4637700211,0.5456464322,1.921818175,-0.9612031724
18.96280882,0.6001789510,0.5522433171,1.664602261,-1.139253035
19.21129849,0.7382164161,0.5587542768,1.370627183,-1.247029824
19.45978815,0.8778613414,0.5651815213,1.059590957,-1.276181495
19.70827781,1.019093190,0.5715271765,0.7533285506,-1.224026839
19.95676748,1.161891945,0.5777932884,0.4741371913,-1.094173086
20.20525714,1.306238085,0.5839818269,0.2429038173,-0.8966273851
20.45374680,1.452112572,0.5900946895,0.07719078821,-0.6473338759
20.70223647,1.599496830,0.5961337052,-0.01053933951,-0.3671171058
20.95072613,1.748372729,0.6021006372,-0.01437003139,-0.08007070501
21.19921579,1.898722569,0.6079971864,0.06413197565,0.1885073310
21.44770546,2.050529067,0.6138249941,0.2156374059,0.4144711602
21.69619512,2.203775339,0.6195856449,0.4235305046,0.5772629196
21.94468478,2.358444888,0.6252806693,0.6651681641,0.6621810946
22.19317445,2.514521592,0.6309115459,0.9138676955,0.6622235237
22.44166411,2.671989689,0.6364797040,1.141481881,0.5792638328
22.69015377,2.830833767,0.6419865256,1.321337827,0.4243667563
22.93864344,2.991038751,0.6474333475,1.431249378,0.2171231365
23.18713310,3.152589893,0.6528214633,1.456271671,-0.01601561431
23.43562276,3.315472763,0.6581521253,1.390859490,-0.2443099574
23.68411243,3.479673235,0.6634265458,1.240123884,-0.4360011998
23.93260209,3.645177480,0.6686458995,1.019955478,-0.5619611459
24.18109175,3.811971957,0.6738113245,0.7558941679,-0.5993271245
24.42958142,3.980043403,0.6789239240,0.4807642568,-0.5346871814
24.67807108,4.149378825,0.6839847677,0.2312474220,-0.3663901155
24.92656074,4.319965492,0.6889948931,0.04371506379,-0.1056198206
25.17505041,4.491790926,0.6939553068,-0.05023332931,0.2240084588
25.42354007,4.664842896,0.6988669857,-0.02799768154,0.5884097816
25.67202973,4.839109412,0.7037308784,0.1205791571,0.9464380832
25.92051940,5.014578713,0.7085479058,0.3910536214,1.254433831
26.16900906,5.191239265,0.7133189625,0.7638913672,1.471425975
26.41749872,5.369079755,0.7180449177,1.205843597,1.564372863
26.66598839,5.548089080,0.7227266163,1.673159491,1.512765969
26.91447805,5.728256345,0.7273648797,2.116356611,1.311945494
27.16296772,5.909570856,0.7319605063,2.486037103,0.9745942104
27.41145738,6.092022117,0.7365142731,2.739051959,0.5300786485
27.65994704,6.275599819,0.7410269358,2.844210275,0.02157513612
27.90843671,6.460293841,0.7454992300,2.786728962,-0.4987795642
28.15692637,6.646094240,0.7499318715,2.570731805,-0.9761777408
28.40541603,6.832991251,0.7543255574,2.219330077,-1.360090347
28.65390570,7.020975278,0.7586809664,1.772128041,-1.610944286
28.90239536,7.210036891,0.7629987599,1.280357638,-1.705566645
29.15088502,7.400166826,0.7672795821,0.8002077456,-1.640547419
29.39937469,7.591355971,0.7715240607,0.3852194089,-1.432921409
29.64786435,7.783595374,0.7757328079,0.07881714251,-1.117930412
29.89635401,7.976876230,0.7799064201,-0.09190322372,-0.7440529223
30.14484368,8.171189880,0.7840454792,-0.1201290828,-0.3659193048
30.39333334,8.366527809,0.7881505528,-0.02031252614,-0.03609791726
30.64182300,8.562881642,0.7922221944,0.1741157018,0.2030224867
30.89031267,8.760243138,0.7962609442,0.4160939431,0.3259667259
31.13880233,8.958604189,0.8002673294,0.6526283237,0.3283775789
31.38729199,9.157956818,0.8042418646,0.8337048549,0.2278838764
31.63578166,9.358293173,0.8081850524,0.9210062811,0.06132328771
31.88427132,9.559605526,0.8120973833,0.8949683320,-0.1214029341
32.13276098,9.761886268,0.8159793366,0.7588955095,-0.2659827555
32.38125065,9.965127910,0.8198313805,0.5392728835,-0.3235127227
32.62974031,10.16932308,0.8236539722,0.2820053052,-0.2598562843
32.87822997,10.37446450,0.8274475589,0.04500069137,-0.06288651236
33.12671964,10.58054504,0.8312125774,-0.1118226146,0.2537825997
33.37520930,10.78755764,0.8349494548,-0.1375014087,0.6514497500
33.62369896,10.99549536,0.8386586087,-8.457011702e-05,1.071523573
33.87218863,11.20435137,0.8423404475,0.3060648991,1.444627043
34.12067829,11.41411892,0.8459953704,0.7572011752,1.702233335
34.36916795,11.62479138,0.8496237684,1.302178447,1.788912315
34.61765762,11.83636220,0.8532260235,1.869448045,1.673030138
34.86614728,12.04882494,0.8568025100,2.378123496,1.353883482
35.11463694,12.26217324,0.8603535937,2.751367714,0.8637678953
35.36312661,12.47640082,0.8638796332,2.929823169,0.2643091369
35.61161627,12.69150151,0.8673809791,2.882657993,-0.3626040706
35.86010593,12.90746922,0.8708579750,2.614094365,-0.9279340376
36.10859560,13.12429793,0.8743109572,2.163996821,-1.350476607
36.35708526,13.34198172,0.8777402552,1.602121774,-1.571064639
36.60557493,13.56051476,0.8811461917,1.016791788,-1.563347301
36.85406459,13.77989126,0.8845290829,0.4998450833,-1.339005608
37.10255425,14.00010554,0.8878892385,0.1305070412,-0.9462094209
37.35104392,14.22115200,0.8912269621,-0.03883784713,-0.4613498263
37.59953358,14.44302508,0.8945425512,0.007777064014,0.02462914734
37.84802324,14.66571934,0.8978362976,0.2469479417,0.4228748192
38.09651291,14.88922938,0.9011084871,0.6203389845,0.6631405659
38.34500257,15.11354987,0.9043594001,1.045859088,0.7069657910
38.59349223,15.33867556,0.9075893116,1.433564100,0.5548522932
38.84198190,15.56460128,0.9107984910,1.703252444,0.2458683926
39.09047156,15.79132189,0.9139872030,1.800270351,-0.1504166122
39.33896122,16.01883235,0.9171557069,1.706284725,-0.5482054401
39.58745089,16.24712766,0.9203042573,1.442705176,-0.8631623385
39.83594055,16.47620291,0.9234331039,1.065886066,-1.029921566
40.08443021,16.70605321,0.9265424918,0.6549372331,-1.015731800
40.33291988,16.93667378,0.9296326616,0.2945704423,-0.8272465471
40.58140954,17.16805985,0.9327038494,0.05655923466,-0.5088359882
40.82989920,17.40020676,0.9357562869,-0.01618044839,-0.1325746875
41.07838887,17.63310985,0.9387902018,0.08069439513,0.2181128406
41.32687853,17.86676456,0.9418058175,0.3117941679,0.4676888566
41.57536819,18.10116637,0.9448033534,0.6099328951,0.5663793231
41.82385786,18.33631082,0.9477830251,0.8916800756,0.5025748930
42.07234752,18.57219348,0.9507450441,1.077259103,0.3066965617
42.32083718,18.80881000,0.9536896186,1.110381978,0.04526858737
42.56932685,19.04615608,0.9566169526,0.9734116974,-0.1938772416
42.81781651,19.28422744,0.9595272471,0.6940872916,-0.3222559151
43.06630617,19.52301989,0.9624206991,0.3417990622,-0.2727241704
43.31479584,19.76252925,0.9652975025,0.01371279235,-0.01774837326
43.56328550,20.00275143,0.9681578479,-0.1865892126,0.4205320305
43.81177516,20.24368234,0.9710019224,-0.1734007996,0.9712630809
44.06026483,20.48531798,0.9738299102,0.09936000462,1.527269580
44.30875449,20.72765436,0.9766419922,0.6241312981,1.966663887
44.55724415,20.97068755,0.9794383463,1.337081257,2.179194790
44.80573382,21.21441368,0.9822191475,2.128087120,2.091530528
45.05422348,21.45882889,0.9849845679,2.861667343,1.685628772
45.30271314,21.70392939,0.9877347767,3.404596308,1.005672966
45.55120281,21.94971141,0.9904699402,3.654189379,0.1515059767
45.79969247,22.19617124,0.9931902223,3.560839748,-0.7404568993
46.04818214,22.44330520,0.9958957840,3.139479708,-1.524900854
46.29667180,22.69110965,0.9985867837,2.467037535,-2.077792891
46.54516146,22.93958099,1.001263377,1.666150243,-2.322213177
46.79365113,23.18871567,1.003925719,0.8786366547,-2.243807705
47.04214079,23.43851015,1.006573958,0.2347493498,-1.892140684
47.29063045,23.68896096,1.009208245,-0.1746354613,-1.367506730
47.53912012,23.94006464,1.011828724,-0.3162984300,-0.7962518851
47.78760978,24.19181779,1.014435541,-0.2190362745,-0.3004942349
48.03609944,24.44421701,1.017028837,0.03694600014,0.03040131401
48.28458911,24.69725898,1.019608752,0.3429605879,0.1595703555
48.53307877,24.95094039,1.022175422,0.5913068350,0.1087002972
48.78156843,25.20525795,1.024728984,0.7037737966,-0.05112501808
49.03005810,25.46020843,1.027269570,0.6518040964,-0.2214161340
49.27854776,25.71578863,1.029797312,0.4629973208,-0.3053618537
49.52703742,25.97199536,1.032312338,0.2121245775,-0.2362981944
49.77552709,26.22882548,1.034814777,-0.001099675098,0.002139828313
50.02401675,26.48627588,1.037304753,-0.08164008007,0.3698373189
50.27250641,26.74434347,1.039782391,0.03184703312,0.7800181220
50.52099608,27.00302522,1.042247811,0.3466914772,1.122796555
50.76948574,27.26231809,1.044701133,0.8105504956,1.296358038
51.01797540,27.52221909,1.047142477,1.322573416,1.237339411
51.26646507,27.78272527,1.049571958,1.758992388,0.9418633702
51.51495473,28.04383368,1.051989690,2.006649684,0.4709025826
51.76344439,28.30554143,1.054395788,1.995484665,-0.06229440913
52.01193406,28.56784564,1.056790362,1.720876894,-0.5201200537
52.26042372,28.83074345,1.059173522,1.249120531,-0.7769018020
52.50891338,29.09423204,1.061545377,0.7036509088,-0.7539583881
52.75740305,29.35830863,1.063906034,0.2348494781,-0.4436878829
53.00589271,29.62297043,1.066255597,-0.01908166013,0.08447387492
53.25438237,29.88821471,1.068594170,0.03012257579,0.6987184962
53.50287204,30.15403874,1.070921856,0.3947826851,1.237080622
53.75136170,30.42043984,1.073238756,1.004613650,1.549169644
53.99985136,30.68741533,1.075544969,1.721999188,1.536436490
54.24834103,30.95496257,1.077840593,2.375859374,1.179970390
54.49683069,31.22307895,1.080125725,2.805534446,0.5478489749
54.74532035,31.49176187,1.082400461,2.903060262,-0.2205775485
54.99381002,31.76100875,1.084664895,2.642291799,-0.9498124183
55.24229968,32.03081705,1.086919119,2.086634473,-1.473630008
55.49078934,32.30118424,1.089163225,1.372853066,-1.678585230
55.73927901,32.57210783,1.091397304,0.6750116139,-1.533667290
55.98776867,32.84358532,1.093621445,0.1582145728,-1.097773313
56.23625834,33.11561426,1.095835736,-0.06516033285,-0.5027418211
56.48474800,33.38819222,1.098040264,0.03543621371,0.08347236284
56.73323766,33.66131677,1.100235114,0.4024602581,0.5032269871
56.98172733,33.93498553,1.102420372,0.9085947816,0.6521356610
57.23021699,34.20919612,1.104596120,1.394365456,0.5063349294
57.47870665,34.48394618,1.106762441,1.714152353,0.1263433874
57.72719632,34.75923340,1.108919416,1.777198808,-0.3634288097
57.97568598,35.03505544,1.111067126,1.571640655,-0.8132978524
58.22417564,35.31141003,1.113205650,1.164586078,-1.093418832
58.47266531,35.58829488,1.115335066,0.6784459363,-1.131766207
58.72115497,35.86570775,1.117455451,0.2509284497,-0.9334587169
58.96964463,36.14364640,1.119566882,-0.008824561119,-0.5755617910
59.21813430,36.42210861,1.121669434,-0.05417530104,-0.1790632796
59.46662396,36.70109219,1.123763182,0.08583371407,0.1330976076
59.71511362,36.98059496,1.125848198,0.3184926958,0.2785050815
