omega,Re_Phi,Im_Phi
-3.000000000,-0.3330290608,-0.2499289775
-2.976562500,-0.1526001197,-0.3033889376
-2.953125000,-0.2600620897,-0.2137496153
-2.929687500,-0.1894864277,-0.4041729509
-2.906250000,-0.1174079776,-0.2526910430
-2.882812500,-0.2273736568,-0.3972650784
-2.859375000,-0.01281530340,-0.3802672506
-2.835937500,-0.1649021349,-0.3259755895
-2.812500000,-0.01181296772,-0.5009450165
-2.789062500,0.003344164735,-0.3062336975
-2.765625000,-0.05722577926,-0.5071915444
-2.742187500,0.1684463402,-0.3984763461
-2.718750000,-0.02174883434,-0.4016550381
-2.695312500,0.2188238089,-0.5286662332
-2.671875000,0.1516482878,-0.3066969857
-2.648437500,0.1688688066,-0.5551708426
-2.625000000,0.3723229630,-0.3365789023
-2.601562500,0.1588039536,-0.4229208713
-2.578125000,0.4846871182,-0.4613652364
-2.554687500,0.3087533859,-0.2394840382
-2.531250000,0.4382947488,-0.5174978320
-2.507812500,0.5735163339,-0.1746631731
-2.484375000,0.3635161658,-0.3745348676
-2.460937500,0.7642548757,-0.2712963803
-2.437500000,0.4514721654,-0.09237287777
-2.414062500,0.7399823855,-0.3680349818
-2.390625000,0.7412668010,0.1116736438
-2.367187500,0.5821042415,-0.2413200561
-2.343750000,1.037881175,0.08445868901
-2.320312500,0.5524483779,0.1514178538
-2.296875000,1.079162727,-0.06202431940
-2.273437500,0.8363470405,0.5777201254
-2.250000000,0.8223795839,0.005296886739
-2.226562500,1.302958647,0.7237296000
-2.203125000,0.5711714781,0.5459791358
-2.179687500,1.539938542,0.5450952692
-2.156250000,0.7791455381,1.454250823
-2.132812500,1.189592850,0.4838935246
-2.109375000,1.665527031,2.272027168
-2.085937500,0.3359998345,1.447869113
-2.062500000,3.012212025,2.613286357
-2.039062500,-0.2746911722,5.685257153
-2.015625000,5.073877059,3.629438642
-1.992187500,1.776005249,-30.17450442
-1.968750000,4.189681047,-2.761122832
-1.945312500,-0.3293412470,-3.481352369
-1.921875000,2.632449898,-2.648562185
-1.898437500,0.6355561040,-0.7135322529
-1.875000000,1.138468274,-2.206689420
-1.851562500,1.665461355,-0.3398522232
-1.828125000,0.2281006080,-0.9584903736
-1.804687500,1.828327801,-1.106435164
-1.781250000,0.6235311869,0.6716108167
-1.757812500,0.05878654729,-2.263637840
-1.734375000,7.226033457,4.481257118
-1.710937500,-17.83689302,20.24037751
-1.687500000,20.08601980,14.76478458
-1.664062500,-5.702728579,16.60408483
-1.640625000,-11.74445023,10.42258531
-1.617187500,11.69920489,3.612003090
-1.593750000,13.67164950,4.946253567
-1.570312500,-11.84956863,7.429797641
-1.546875000,6.038879389,-26.51127815
-1.523437500,11.93895777,-6.805308538
-1.500000000,13.75907952,10.14503010
-1.476562500,-8.685585723,7.270087700
-1.453125000,-2.042979175,15.56545408
-1.429687500,-1.618623425,-1.070545747
-1.406250000,-1.090068113,-12.55051457
-1.382812500,-6.798770993,-8.463124542
-1.359375000,0.07638027229,-10.43908449
-1.335937500,-3.632332334,11.14269283
-1.312500000,2.157833052,17.91894105
-1.289062500,0.4347962121,-16.81993630
-1.265625000,-0.01497050398,23.19004969
-1.242187500,-4.670268330,-9.943916085
-1.218750000,3.455682175,3.081607701
-1.195312500,-10.64194431,-6.833379808
-1.171875000,-1.275289629,2.067991687
-1.148437500,0.5636426786,3.669557961
-1.125000000,-12.23287611,26.00292397
-1.101562500,22.75633334,2.696511567
-1.078125000,20.97321973,17.52340369
-1.054687500,-1.899250176,-1.958926550
-1.031250000,-9.473944659,21.01226180
-1.007812500,-11.86260871,13.03580056
-0.9843750000,-4.016894105,17.09217357
-0.9609375000,-19.23333467,13.89745649
-0.9375000000,-10.04324408,19.72237116
-0.9140625000,8.237537691,-16.10435602
-0.8906250000,6.602815615,4.505437829
-0.8671875000,-17.61275690,3.139366629
-0.8437500000,-6.230204128,-25.97327573
-0.8203125000,14.71812435,-8.946770943
-0.7968750000,-15.25529762,14.47079205
-0.7734375000,-0.6861882392,12.12834111
-0.7500000000,-8.118009807,-8.949642357
-0.7265625000,-24.12935266,-29.41805087
-0.7031250000,15.45234658,-13.13767233
-0.6796875000,-7.603851512,11.41180430
-0.6562500000,-2.735407683,-26.02851898
-0.6328125000,15.17288704,-16.26264351
-0.6093750000,6.626869603,11.02811282
-0.5859375000,6.910552819,-23.30076519
-0.5625000000,14.82686101,21.72973229
-0.5390625000,1.410263388,12.60337329
-0.5156250000,2.939729827,-8.334364219
-0.4921875000,5.146215130,-16.44727486
-0.4687500000,-18.60869631,-20.35937562
-0.4453125000,24.41483883,24.68053447
-0.4218750000,-4.217213413,2.314016298
-0.3984375000,-9.188361665,-8.542123888
-0.3750000000,-11.67683857,-4.927382946
-0.3515625000,16.87640847,5.264398701
-0.3281250000,16.27002324,-15.32468644
-0.3046875000,-6.744882927,-22.94558930
-0.2812500000,-24.78510163,-28.63997553
-0.2578125000,-2.295241886,3.094752026
-0.2343750000,1.274229209,-1.224920519
-0.2109375000,1.555547869,1.466175321
-0.1875000000,0.1766197709,0.4284015972
-0.1640625000,1.853612893,0.5135434205
-0.1406250000,0.7336127686,1.868386507
-0.1171875000,1.024124945,0.4042162958
-0.09375000000,2.115416918,2.592954656
-0.07031250000,-0.08693627789,2.138176738
-0.04687500000,3.640584666,2.636339089
-0.02343750000,-0.1270704833,10.27209554
