tau,Re_zeta,Re_zeta_st
-3.530972829,0.8856232512,12.20661730
-3.528545266,0.9304608332,12.21334535
-3.521385334,0.9782543716,12.23291001
-3.509667031,1.028763480,12.26401976
-3.493551988,1.081616614,12.30491968
-3.473190749,1.136293620,12.35339973
-3.448723871,1.192109812,12.40678905
-3.420282890,1.248202893,12.46194249
-3.387991163,1.303524217,12.51522579
-3.351964610,1.356836099,12.56250541
-3.312312366,1.406716969,12.59914994
-3.269137362,1.451576246,12.62004973
-3.222536839,1.489680708,12.61966196
-3.172602807,1.519193973,12.59208832
-3.119422460,1.538230299,12.53119155
-3.063078540,1.544923388,12.43075677
-3.003649674,1.537510105,12.28470103
-2.941210669,1.514428053,12.08733214
-2.875832791,1.474424801,11.83365446
-2.807584004,1.416675215,11.51971421
-2.736529197,1.340901941,11.14297225
-2.662730391,1.247492607,10.70268592
-2.586246919,1.137605955,10.20027614
-2.507135604,1.013257948,9.639650100
-2.425450910,0.8773780921,9.027446442
-2.341245090,0.7338259438,8.373167069
-2.254568312,0.5873581807,7.689161128
-2.165468789,0.4435378463,6.990430831
-2.073992886,0.3085795635,6.294237449
-1.980185226,0.1891276874,5.619498617
-1.884088785,0.09196853397,4.985984865
-1.785744986,0.02368286118,4.413343050
-1.685193775,-0.009749515896,3.919995634
-1.582473703,-0.003375059405,3.521985311
-1.477621999,0.04630204933,3.231851767
-1.370674633,0.1409114713,3.057638639
-1.261666380,0.2798643847,3.002131229
-1.150630882,0.4600924693,3.062417295
-1.037600697,0.6759129490,3.229843166
-0.9226073556,0.9190509527,3.490405870
-0.8056814054,1.178843569,3.825581045
-0.6868524580,1.442639610,4.213539854
-0.5661492309,1.696395481,4.630661308
-0.4435995874,1.925451318,5.053205698
-0.3192305744,2.115453610,5.458986633
-0.1930684574,2.253372434,5.828869262
-0.06513875429,2.328544650,6.147934211
0.06453373347,2.333661099,6.406181466
0.1959248910,2.265607822,6.598703013
0.3290112617,2.126070393,6.725321106
0.4637700211,1.921818175,6.789761079
0.6001789510,1.664602261,6.798492199
0.7382164161,1.370627183,6.759416027
0.8778613414,1.059590957,6.680599813
1.019093190,0.7533285506,6.569237902
1.161891945,0.4741371913,6.430977759
1.306238085,0.2429038173,6.269676381
1.452112572,0.07719078821,6.087570328
1.599496830,-0.01053933951,5.885764673
1.748372729,-0.01437003139,5.664889571
1.898722569,0.06413197565,5.425750898
2.050529067,0.2156374059,5.169819970
2.203775339,0.4235305046,4.899463557
2.358444888,0.6651681641,4.617896818
2.514521592,0.9138676955,4.328928075
2.671989689,1.141481881,4.036631858
2.830833767,1.321337827,3.745114341
2.991038751,1.431249378,3.458510431
3.152589893,1.456271671,3.181275121
3.315472763,1.390859490,2.918719462
3.479673235,1.240123884,2.677622734
3.645177480,1.019955478,2.466663823
3.811971957,0.7558941679,2.296390532
3.980043403,0.4807642568,2.178507565
4.149378825,0.2312474220,2.124412534
4.319965492,0.04371506379,2.143119599
4.491790926,-0.05023332931,2.238933939
4.664842896,-0.02799768154,2.409415065
4.839109412,0.1205791571,2.644232424
5.014578713,0.3910536214,2.925431279
5.191239265,0.7638913672,3.229383195
5.369079755,1.205843597,3.530329127
5.548089080,1.673159491,3.805009288
5.728256345,2.116356611,4.037513630
5.909570856,2.486037103,4.223282497
6.092022117,2.739051959,4.371214953
6.275599819,2.844210275,4.503127860
6.460293841,2.786728962,4.650313221
6.646094240,2.570731805,4.847564322
6.832991251,2.219330077,5.125642388
7.020975278,1.772128041,5.503587342
7.210036891,1.280357638,5.982424489
7.400166826,0.8002077456,6.541634126
7.591355971,0.3852194089,7.139265906
7.783595374,0.07881714251,7.715902256
7.976876230,-0.09190322372,8.201960496
8.171189880,-0.1201290828,8.527231273
8.366527809,-0.02031252614,8.631200933
8.562881642,0.1741157018,8.472645749
8.760243138,0.4160939431,8.037184207
8.958604189,0.6526283237,7.341836439
9.157956818,0.8337048549,6.436050818
9.358293173,0.9210062811,5.399022692
9.559605526,0.8949683320,4.333411928
9.761886268,0.7588955095,3.355792547
9.965127910,0.5392728835,2.584411402
10.16932308,0.2820053052,2.125164260
10.37446450,0.04500069137,2.057134151
10.58054504,-0.1118226146,2.419507785
10.78755764,-0.1375014087,3.202032800
10.99549536,-8.457011702e-05,4.341198864
11.20435137,0.3060648991,5.723847679
11.41411892,0.7572011752,7.198884166
11.62479138,1.302178447,8.596288955
11.83636220,1.869448045,9.751012990
12.04882494,2.378123496,10.52797583
12.26217324,2.751367714,10.84369841
12.47640082,2.929823169,10.68035495
12.69150151,2.882657993,10.08926656
12.90746922,2.614094365,9.182846028
13.12429793,2.163996821,8.116281287
13.34198172,1.602121774,7.062263313
13.56051476,1.016791788,6.183339622
13.77989126,0.4998450833,5.606739006
14.00010554,0.1305070412,5.405781202
14.22115200,-0.03883784713,5.590530075
14.44302508,0.007777064014,6.108590011
14.66571934,0.2469479417,6.855297922
14.88922938,0.6203389845,7.691308291
15.11354987,1.045859088,8.464795491
15.33867556,1.433564100,9.035136319
15.56460128,1.703252444,9.294857831
15.79132189,1.800270351,9.186765993
16.01883235,1.706284725,8.713550806
16.24712766,1.442705176,7.937926541
